"year","recruits","R.no.devs","logR.dev","SR.std.resid","SSB","SPR","Rs","SSB_1"
1965,4864754,3051852,0.4662674,0.5600442,975359.1,0.2073434,NA,NA
1966,3913303,3051852,0.2486331,0.2986388,1289719,0.2296337,1.38933134252473,975359.1
1967,8418418,3052789,1.014366,1.218378,1312431,0.2192815,1.87599755942777,1289719
1968,4027622,3052839,0.277104,0.3328358,1016283,0.2258184,1.12129498468132,1312431
1969,5201490,3052007,0.5331457,0.6403733,649227.2,0.210385,1.63279326932722,1016283
1970,2475948,3049923,-0.208493,-0.2504257,484074,0.2320578,1.33859589948542,649227.2
1971,14674390,3047958,1.571632,1.887722,329643,0.2317367,3.4116212889493,484074
1972,2562144,3044345,-0.1724412,-0.207123,276689.6,0.2624353,2.05058943627512,329643
1973,2866499,3042181,-0.05948348,-0.07144694,487284,0.2829608,2.3379504032374,276689.6
1974,3507926,3048009,0.1405364,0.1688014,334825.6,0.2424901,1.97393314330152,487284
1975,2132604,3044520,-0.3559993,-0.4275987,218710.5,0.2518418,1.85148924797461,334825.6
1976,2565756,3038618,-0.1691496,-0.2031694,164438.9,0.249741,2.46225951351644,218710.5
1977,5527145,3033022,0.6001118,0.7208078,103116.8,0.2239522,3.51488761369893,164438.9
1978,5771979,3019695,0.6478591,0.7781581,64888.9,0.2179583,4.02490795529167,103116.8
1979,902227.6,2998879,-1.201127,-1.4427,89008.13,0.2558753,2.632190239668,64888.9
1980,3973672,3014066,0.2764007,0.3319911,80443.68,0.2464404,3.79871816934353,89008.13
1981,2069876,3009700,-0.3743519,-0.4496425,81123.56,0.2508879,3.24768666884158,80443.68
1982,1921318,3010080,-0.4489552,-0.5392502,67830.45,0.2729209,3.1647932633689,81123.56
1983,1359330,3001299,-0.7920529,-0.9513524,70108.2,0.2929284,2.99773600111222,67830.45
1984,4504452,3003036,0.4054424,0.486986,69304.87,0.2730506,4.16278175707572,70108.2
1985,3675050,3002436,0.2021429,0.2427984,94363.56,0.259725,3.97080683909954,69304.87
1986,3223908,3016398,0.06653083,0.07991167,110767.4,0.2340829,3.53119458556063,94363.56
1987,4289285,3022155,0.35015,0.420573,149292.5,0.2177183,3.65644282417082,110767.4
1988,6276145,3030740,0.7279491,0.874356,148077.1,0.209222,3.73860374861783,149292.5
1989,7311144,3030537,0.88066,1.05778,166476.2,0.2227996,3.89942195438249,148077.1
1990,7794697,3033298,0.9437933,1.133611,165999.1,0.1998174,3.84634655340494,166476.2
1991,6605043,3033234,0.7782042,0.9347185,210822.4,0.1885841,3.68360636049967,165999.1
1992,3360277,3037982,0.1008297,0.1211089,322384.3,0.1911144,2.76876261715401,210822.4
1993,3367537,3044090,0.1009797,0.121289,368130.4,0.1853427,2.34619258342727,322384.3
1994,3707747,3045528,0.1967501,0.236321,315597.4,0.1637801,2.30974247027705,368130.4
1995,10606840,3043841,1.248378,1.499455,272148.6,0.1648042,3.51478700435197,315597.4
1996,4650978,3041957,0.4245765,0.5099683,246096.3,0.1629544,2.83848455840231,272148.6
1997,4515168,3040509,0.3954175,0.4749448,500177,0.1960076,2.90947475171598,246096.3
1998,2864188,3048207,-0.06226842,-0.07479199,380281.2,0.1621234,1.74507813260529,500177
1999,7535893,3045852,0.9058968,1.088093,304477.3,0.1478445,2.98652163858617,380281.2
2000,2209808,3043410,-0.3200731,-0.3844469,323453.3,0.1759988,1.98206437697863,304477.3
2001,2103963,3044128,-0.3693919,-0.4436849,375948.2,0.1748467,1.87252324320944,323453.3
2002,4495514,3045739,0.3893366,0.4676409,286552.3,0.1579626,2.48138392170347,375948.2
2003,5469233,3042645,0.5864113,0.7043518,227018.1,0.1652241,2.94897259871799,286552.3
2004,2949779,3039240,-0.02987703,-0.03588598,247678.7,0.1751374,2.56445578128784,227018.1
2005,2163047,3040606,-0.3405391,-0.4090292,266665.3,0.1801409,2.16714081311739,247678.7
2006,4575145,3041675,0.4082298,0.490334,205933.4,0.1617166,2.84239935720976,266665.3
2007,1458040,3037564,-0.7339628,-0.8815791,199084.9,0.1839529,1.95729553148884,205933.4
2008,2773981,3036944,-0.09056839,-0.1087837,200992.5,0.1785504,2.63430738462798,199084.9
2009,10361470,3037121,1.227184,1.473998,138285.6,0.1764589,3.94258180370959,200992.5
2010,1995011,3028771,-0.4175076,-0.5014778,126016.1,0.1642347,2.66908373131858,138285.6
2011,1941889,3026175,-0.4436381,-0.5328637,189917.5,0.1487846,2.73500681308183,126016.1
2012,6115507,3036045,0.7002721,0.8411125,241246.9,0.1508338,3.47199318822177,189917.5
2013,1370991,3040205,-0.7963913,-0.9565635,195522.1,0.1525817,1.73746822459374,241246.9
2014,1316059,3036605,-0.836098,-1.004256,292365.9,0.1717259,1.9067235271923,195522.1
2015,704911.4,3042903,-1.462495,-1.756636,228604.3,0.1667766,0.880066021147968,292365.9
2016,343525.8,3039353,-2.180138,-2.618612,145351.5,0.143547,0.407269656679624,228604.3
2017,859747,3030069,-1.259703,-1.513057,105793.3,0.1587506,1.77748321305076,145351.5
2018,692799.5,3020596,-1.472469,-1.768615,65529.42,0.1902731,1.87925344515214,105793.3
2019,1570989,2999424,-0.6467147,-0.7767836,53441.01,0.1950997,3.17696143421724,65529.42
2020,863793.1,2986980,-1.240685,-1.490215,51748.65,0.1856265,2.78275484378413,53441.01
2021,2144506,2984785,-0.3306184,-0.3971132,56565.8,0.1593317,3.72426615695931,51748.65
