"year","OISST","SST","SSS","BT","BS","FaSST","FaBT","SpSST","SpBT","HW","GSI","CP","ChlA","PPD","HadSSB_GoM","MackSSB","CalAD","CalC5","CalC4","CalC3","Cal.AnAbun"," fall"," spring","Smcope.AnDens","Sm.cal.abun","Lg.cal.abun","ZooAbun"
1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.934094217287963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.275659498437768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.413228219820941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0218262102647943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.17640606761037,-0.791564835746187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.35081328861029,-1.06562644770995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.26446180242235,-1.12464304555961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.875700955643322,-1.00885514044859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.12233241433674,-0.280615093396308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,NA,9.24941545161928,NA,8.72931311328341,NA,9.24941545161928,8.72931311328341,NA,NA,NA,-1.25858110301855,-0.343402063730768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,NA,11.2321378230974,NA,8.92745261943154,NA,11.2321378230974,8.92745261943154,NA,NA,NA,-1.88638499113808,-0.796136729296369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,NA,12.2543157647486,NA,9.01374770050429,NA,12.2543157647486,9.01374770050429,NA,NA,NA,-1.13473963477415,-1.86956057839931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,NA,11.8111286668174,NA,8.56459978927712,NA,11.8111286668174,8.56459978927712,NA,NA,NA,-1.99122477043049,-1.3791296480676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
