"year","recruits","R.no.devs","logR.dev","SR.std.resid","SSB","SPR","Rs","SSB_1","HadSSB_GoM","MackSSB","HadSSB_GoM_1","MackSSB_1","ChlA","PPD","Jelly.Abun","Sm.cal.abun","Sm.cal.abun_1","ZooAbun","ZooAbun_1","Cfin.C5","cfinC5_1","BT","BT_1","OISST","SST_1","HW","GSI","WSW"
1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.934094217287963,NA
1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.275659498437768,NA
1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.413228219820941,NA
1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0218262102647943,NA
1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.17640606761037,NA
1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.05887317706408,NA,NA,NA,NA,-1.35081328861029,NA
1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.11361281533294,8.05887317706408,NA,NA,NA,-1.26446180242235,NA
1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.87528993683043,8.11361281533294,NA,NA,NA,-0.875700955643322,NA
1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2145484829978,7.87528993683043,NA,NA,NA,-1.12233241433674,NA
1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.23571746741305,8.2145484829978,NA,NA,NA,-1.25858110301855,NA
1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.24848213894561,8.23571746741305,NA,NA,NA,-1.88638499113808,NA
1965,4864754,3051852,0.4662674,0.5600442,975359.1,0.2073434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.55645296756507,8.24848213894561,NA,NA,NA,-1.13473963477415,NA
1966,3913303,3051852,0.2486331,0.2986388,1289719,0.2296337,1.38933134252473,975359.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.76260932797785,7.55645296756507,NA,NA,NA,-1.99122477043049,NA
1967,8418418,3052789,1.014366,1.218378,1312431,0.2192815,1.87599755942777,1289719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.83991087999887,7.76260932797785,NA,NA,NA,-1.18393682468754,NA
1968,4027622,3052839,0.277104,0.3328358,1016283,0.2258184,1.12129498468132,1312431,NA,621759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.70560411918325,7.83991087999887,NA,NA,NA,-0.346073579557453,NA
1969,5201490,3052007,0.5331457,0.6403733,649227.2,0.210385,1.63279326932722,1016283,NA,854505,NA,621759,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.91453519550064,7.70560411918325,NA,NA,NA,-0.883770422146976,NA
1970,2475948,3049923,-0.208493,-0.2504257,484074,0.2320578,1.33859589948542,649227.2,NA,967918,NA,854505,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.29676812699696,7.91453519550064,NA,NA,NA,-0.963878090409287,NA
1971,14674390,3047958,1.571632,1.887722,329643,0.2317367,3.4116212889493,484074,NA,1042578,NA,967918,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.05454059181003,8.29676812699696,NA,NA,NA,-0.951402266597778,NA
1972,2562144,3044345,-0.1724412,-0.207123,276689.6,0.2624353,2.05058943627512,329643,NA,1134034,NA,1042578,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.70363203590023,8.05454059181003,NA,NA,NA,-0.0587124388090674,NA
1973,2866499,3042181,-0.05948348,-0.07144694,487284,0.2829608,2.3379504032374,276689.6,NA,814768,NA,1134034,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.49449137943113,8.70363203590023,NA,NA,NA,0.119434261778928,NA
1974,3507926,3048009,0.1405364,0.1688014,334825.6,0.2424901,1.97393314330152,487284,NA,620472,NA,814768,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.28519169097515,8.49449137943113,NA,NA,NA,0.675986742127701,NA
1975,2132604,3044520,-0.3559993,-0.4275987,218710.5,0.2518418,1.85148924797461,334825.6,NA,509803,NA,620472,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.30146214152823,9.28519169097515,NA,NA,NA,-0.0334485388436955,NA
1976,2565756,3038618,-0.1691496,-0.2031694,164438.9,0.249741,2.46225951351644,218710.5,NA,377976,NA,509803,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.31131785058038,9.30146214152823,NA,NA,NA,0.514816516856158,NA
1977,5527145,3033022,0.6001118,0.7208078,103116.8,0.2239522,3.51488761369893,164438.9,9716,359134,NA,377976,NA,NA,13.9262834958656,20.4426440933712,NA,20.964660827651,NA,10.3499407091366,NA,8.38402904472917,9.31131785058038,NA,NA,NA,0.314458863453166,57
1978,5771979,3019695,0.6478591,0.7781581,64888.9,0.2179583,4.02490795529167,103116.8,13726,379297,9716,359134,NA,NA,15.0878000235366,20.0231250054077,20.4426440933712,20.5496932325128,20.964660827651,8.79176341331442,10.3499407091366,8.57580166855246,8.38402904472917,NA,NA,NA,-0.439780908512913,NA
1979,902227.6,2998879,-1.201127,-1.4427,89008.13,0.2558753,2.632190239668,64888.9,15505,352118,13726,379297,NA,NA,16.3145252015983,19.9748497305272,20.0231250054077,20.593079633151,20.5496932325128,8.55844716205759,8.79176341331442,8.08099597855223,8.57580166855246,NA,NA,NA,-0.22075071319062,60.934
1980,3973672,3014066,0.2764007,0.3319911,80443.68,0.2464404,3.79871816934353,89008.13,14876,346861,15505,352118,NA,NA,15.9593107074797,20.142829415036,19.9748497305272,20.7618926736043,20.593079633151,8.66354027427316,8.55844716205759,8.03733733951527,8.08099597855223,NA,NA,NA,0.0319049511304295,56.7604
1981,2069876,3009700,-0.3743519,-0.4496425,81123.56,0.2508879,3.24768666884158,80443.68,14750,300168,14876,346861,NA,NA,17.0976398117456,20.4283285953407,20.142829415036,20.9861123728692,20.7618926736043,7.74033853268084,8.66354027427316,7.93757269825613,8.03733733951527,NA,NA,NA,-0.57868131076502,43.2569
1982,1921318,3010080,-0.4489552,-0.5392502,67830.45,0.2729209,3.1647932633689,81123.56,14390,305313,14750,300168,NA,NA,14.9760434750777,20.0224814287564,20.4283285953407,21.0639944720236,20.9861123728692,9.85519056632233,7.74033853268084,8.32549835435918,7.93757269825613,10.8590987801745,NA,16.2581592354086,-0.494856573023563,37.6094
1983,1359330,3001299,-0.7920529,-0.9513524,70108.2,0.2929284,2.99773600111222,67830.45,10929,360459,14390,305313,NA,NA,13.8461550819364,20.2062302298303,20.0224814287564,20.7243571277485,21.0639944720236,9.06594880550848,9.85519056632233,8.86218229611894,8.32549835435918,11.4083020528385,10.8590987801745,119.680657391283,-0.290645341630642,60.4479
1984,4504452,3003036,0.4054424,0.486986,69304.87,0.2730506,4.16278175707572,70108.2,7308,393831,10929,360459,NA,NA,13.9341103849317,19.9121917888982,20.2062302298303,20.4348308902015,20.7243571277485,8.7573044548839,9.06594880550848,8.41391371032201,8.86218229611894,11.230767256108,11.4083020528385,43.4184731794201,0.447445647575369,64.2917
1985,3675050,3002436,0.2021429,0.2427984,94363.56,0.259725,3.97080683909954,69304.87,5358,583088,7308,393831,NA,NA,14.3116003192741,19.722125841441,19.9121917888982,20.4540835854504,20.4348308902015,9.12894075387035,8.7573044548839,9.31206648687638,8.41391371032201,11.1820279619582,11.230767256108,46.6627147414365,0.675206926210973,87.6007
1986,3223908,3016398,0.06653083,0.07991167,110767.4,0.2340829,3.53119458556063,94363.56,2988,525549,5358,583088,NA,NA,15.0224543100412,19.5691812391855,19.722125841441,20.7378024456756,20.4540835854504,9.07408735804465,9.12894075387035,9.54745783045727,9.31206648687638,10.9604088123229,11.1820279619582,17.2516226925428,0.202894300496553,87.7778
1987,4289285,3022155,0.35015,0.420573,149292.5,0.2177183,3.65644282417082,110767.4,1522,411664,2988,525549,NA,NA,15.154502593378,20.3318986378515,19.5691812391855,21.8140539109123,20.7378024456756,9.28244211477303,9.07408735804465,8.66443629623165,9.54745783045727,10.3789825444406,10.9604088123229,NA,-0.670503603893026,52.4531
1988,6276145,3030740,0.7279491,0.874356,148077.1,0.209222,3.73860374861783,149292.5,1096,338213,1522,411664,NA,NA,14.2842050951652,20.3909758100198,20.3318986378515,20.8876573423243,21.8140539109123,8.2890490004693,9.28244211477303,8.62498157456277,8.66443629623165,10.4808033806759,10.3789825444406,12.3242,-0.625483129119118,NA
1989,7311144,3030537,0.88066,1.05778,166476.2,0.2227996,3.89942195438249,148077.1,799,326577,1096,338213,NA,NA,16.6217956139013,21.1518478672136,20.3909758100198,21.3523164723884,20.8876573423243,7.09764619061462,8.2890490004693,8.6750364890005,8.62498157456277,10.8629091067078,10.4808033806759,9.34384598762096,-0.850073365442742,NA
1990,7794697,3033298,0.9437933,1.133611,165999.1,0.1998174,3.84634655340494,166476.2,835,258213,799,326577,NA,NA,16.4005714742451,21.2838858370107,21.1518478672136,21.4310269904819,21.3523164723884,6.12218235852859,7.09764619061462,9.15626532132134,8.6750364890005,11.1653760335927,10.8629091067078,66.3835361818441,0.101839421488378,NA
1991,6605043,3033234,0.7782042,0.9347185,210822.4,0.1885841,3.68360636049967,165999.1,723,245469,835,258213,NA,NA,17.2470749379842,20.9703202713379,21.2838858370107,21.2117951199672,21.4310269904819,7.86847042768456,6.12218235852859,9.49727662590288,9.15626532132134,11.1609607430991,11.1653760335927,41.531423487539,0.859442628140859,76.5208
1992,3360277,3037982,0.1008297,0.1211089,322384.3,0.1911144,2.76876261715401,210822.4,679,177878,723,245469,NA,NA,17.5532864353653,20.9773217940544,20.9703202713379,21.4988001456748,21.2117951199672,7.70089886551334,7.86847042768456,8.61177398620412,9.49727662590288,10.2085619531324,11.1609607430991,NA,0.281783735646069,68.8073
1993,3367537,3044090,0.1009797,0.121289,368130.4,0.1853427,2.34619258342727,322384.3,731,158500,679,177878,NA,NA,17.2393874466561,20.6084535354744,20.9773217940544,21.2687103505775,21.4988001456748,7.28968756413383,7.70089886551334,8.46028839275946,8.61177398620412,10.5959114717402,10.2085619531324,35.2508,0.561292689898386,60.8021
1994,3707747,3045528,0.1967501,0.236321,315597.4,0.1637801,2.30974247027705,368130.4,1222,122523,731,158500,NA,NA,17.2089837068049,20.6741716770901,20.6084535354744,21.5653254870834,21.2687103505775,8.80711596836864,7.28968756413383,9.21444592687733,8.46028839275946,11.0191573633348,10.5959114717402,42.5038381609926,0.844028301952192,96.3333
1995,10606840,3043841,1.248378,1.499455,272148.6,0.1648042,3.51478700435197,315597.4,2201,113974,1222,122523,NA,NA,17.2351398690834,20.3616956960576,20.6741716770901,21.1897835114992,21.5653254870834,8.64070517470767,8.80711596836864,9.47422753505341,9.21444592687733,11.0233146452035,11.0191573633348,56.2361839303337,1.09141060016577,78.9479
1996,4650978,3041957,0.4245765,0.5099683,246096.3,0.1629544,2.83848455840231,272148.6,3569,104193,2201,113974,NA,NA,18.5537192749418,22.5025083491623,20.3616956960576,22.6219930288047,21.1897835114992,8.86957338978159,8.64070517470767,8.21371886938576,9.47422753505341,10.1057479826449,11.0233146452035,14.2512,-0.447046962097999,82.276
