"year","recruits","R.no.devs","logR.dev","SR.std.resid","SSB","SPR","Rs","SSB_1","HadSSB_GOM","HadSSB_GB","HadSSB_GOM_1","HadSSB_GB_1","Jelly.Abun","Sm.cal.abun","Sm.cal.abun_1","Lg.cal.abun","Lg.cal.abun_1","Lg.cal.abun_2","Lg.cal.abun_3","Cfin.C5","Cfin.C5_1","NAOIndex","NAOIndex_1","NAOIndex_2","NAOIndex_3","NAOIndex_4","NAOIndex_5","OISST","OISST_1","OISST_2","OISST_3","BT_1","BT_2","WSW"
1982,1921318,3010080,-0.4489552,-0.5392502,67830.45,0.2729209,3.1647932633689,81123.56,13570.09,49494.23337,13985.23,61529.0566,14.9760434750777,20.0224814287564,20.4283285953407,20.6204494965022,20.0724913353116,19.9523968519636,19.7705766788769,9.85519056632233,7.74033853268084,-0.21,0.28,-0.37,-1.44,-0.56,-1.35,11.7551438525777,NA,NA,NA,7.93757269825613,8.03733733951527,37.6094
1983,1359330,3001299,-0.7920529,-0.9513524,70108.2,0.2929284,2.99773600111222,67830.45,10303.71,38671.64217,13570.09,49494.23337,13.8461550819364,20.2062302298303,20.0224814287564,19.8064824119818,20.6204494965022,20.0724913353116,19.9523968519636,9.06594880550848,9.85519056632233,1.26,-0.21,0.28,-0.37,-1.44,-0.56,12.3820695225551,11.7551438525777,NA,NA,8.32549835435918,7.93757269825613,60.4479
1984,4504452,3003036,0.4054424,0.486986,69304.87,0.2730506,4.16278175707572,70108.2,6933.708,26965.4103,10303.71,38671.64217,13.9341103849317,19.9121917888982,20.2062302298303,19.5116468310632,19.8064824119818,20.6204494965022,20.0724913353116,8.7573044548839,9.06594880550848,0.39,1.26,-0.21,0.28,-0.37,-1.44,12.1427742925032,12.3820695225551,11.7551438525777,NA,8.86218229611894,8.32549835435918,64.2917
1985,3675050,3002436,0.2021429,0.2427984,94363.56,0.259725,3.97080683909954,69304.87,5068.892,20027.62987,6933.708,26965.4103,14.3116003192741,19.722125841441,19.9121917888982,19.7652001497588,19.5116468310632,19.8064824119818,20.6204494965022,9.12894075387035,8.7573044548839,-0.82,0.39,1.26,-0.21,0.28,-0.37,12.3634537674875,12.1427742925032,12.3820695225551,11.7551438525777,8.41391371032201,8.86218229611894,87.6007
1986,3223908,3016398,0.06653083,0.07991167,110767.4,0.2340829,3.53119458556063,94363.56,2849.824,20991.5584,5068.892,20027.62987,15.0224543100412,19.5691812391855,19.722125841441,20.3510537421898,19.7652001497588,19.5116468310632,19.8064824119818,9.07408735804465,9.12894075387035,-0.03,-0.82,0.39,1.26,-0.21,0.28,12.0727481642929,12.3634537674875,12.1427742925032,12.3820695225551,9.31206648687638,8.41391371032201,87.7778
1987,4289285,3022155,0.35015,0.420573,149292.5,0.2177183,3.65644282417082,110767.4,1481.804,20803.86337,2849.824,20991.5584,15.154502593378,20.3318986378515,19.5691812391855,21.5483731893991,20.3510537421898,19.7652001497588,19.5116468310632,9.28244211477303,9.07408735804465,-0.68,-0.03,-0.82,0.39,1.26,-0.21,11.5043134582996,12.0727481642929,12.3634537674875,12.1427742925032,9.54745783045727,9.31206648687638,52.4531
1988,6276145,3030740,0.7279491,0.874356,148077.1,0.209222,3.73860374861783,149292.5,1068.864,19728.6925,1481.804,20803.86337,14.2842050951652,20.3909758100198,20.3318986378515,19.9328457309926,21.5483731893991,20.3510537421898,19.7652001497588,8.2890490004693,9.28244211477303,-0.18,-0.68,-0.03,-0.82,0.39,1.26,11.501721131067,11.5043134582996,12.0727481642929,12.3634537674875,8.66443629623165,9.54745783045727,NA
1989,7311144,3030537,0.88066,1.05778,166476.2,0.2227996,3.89942195438249,148077.1,777.7339,20469.84908,1068.864,19728.6925,16.6217956139013,21.1518478672136,20.3909758100198,19.5740750418443,19.9328457309926,21.5483731893991,20.3510537421898,7.09764619061462,8.2890490004693,2.44,-0.18,-0.68,-0.03,-0.82,0.39,11.9567391842528,11.501721131067,11.5043134582996,12.0727481642929,8.62498157456277,8.66443629623165,NA
1990,7794697,3033298,0.9437933,1.133611,165999.1,0.1998174,3.84634655340494,166476.2,802.6103,24275.47025,777.7339,20469.84908,16.4005714742451,21.2838858370107,21.1518478672136,19.3570274860795,19.5740750418443,19.9328457309926,21.5483731893991,6.12218235852859,7.09764619061462,1.92,2.44,-0.18,-0.68,-0.03,-0.82,12.1983890794161,11.9567391842528,11.501721131067,11.5043134582996,8.6750364890005,8.62498157456277,NA
1991,6605043,3033234,0.7782042,0.9347185,210822.4,0.1885841,3.68360636049967,165999.1,690.3803,21910.96211,802.6103,24275.47025,17.2470749379842,20.9703202713379,21.2838858370107,19.5663169147753,19.3570274860795,19.5740750418443,19.9328457309926,7.86847042768456,6.12218235852859,0.54,1.92,2.44,-0.18,-0.68,-0.03,12.2481421602952,12.1983890794161,11.9567391842528,11.501721131067,9.15626532132134,8.6750364890005,76.5208
1992,3360277,3037982,0.1008297,0.1211089,322384.3,0.1911144,2.76876261715401,210822.4,641.9385,16369.0877,690.3803,21910.96211,17.5532864353653,20.9773217940544,20.9703202713379,20.523781576302,19.5663169147753,19.3570274860795,19.5740750418443,7.70089886551334,7.86847042768456,1.73,0.54,1.92,2.44,-0.18,-0.68,11.2225881619698,12.2481421602952,12.1983890794161,11.9567391842528,9.49727662590288,9.15626532132134,68.8073
1993,3367537,3044090,0.1009797,0.121289,368130.4,0.1853427,2.34619258342727,322384.3,683.2602,14619.8401,641.9385,16369.0877,17.2393874466561,20.6084535354744,20.9773217940544,20.4706939864701,20.523781576302,19.5663169147753,19.3570274860795,7.28968756413383,7.70089886551334,1.74,1.73,0.54,1.92,2.44,-0.18,11.6234228281238,11.2225881619698,12.2481421602952,12.1983890794161,8.61177398620412,9.49727662590288,60.8021
1994,3707747,3045528,0.1967501,0.236321,315597.4,0.1637801,2.30974247027705,368130.4,1140.249,19815.2663,683.2602,14619.8401,17.2089837068049,20.6741716770901,20.6084535354744,21.0002457929961,20.4706939864701,20.523781576302,19.5663169147753,8.80711596836864,7.28968756413383,0.86,1.74,1.73,0.54,1.92,2.44,11.9174234842053,11.6234228281238,11.2225881619698,12.2481421602952,8.46028839275946,8.61177398620412,96.3333
1995,10606840,3043841,1.248378,1.499455,272148.6,0.1648042,3.51478700435197,315597.4,2059.083,26026.506,1140.249,19815.2663,17.2351398690834,20.3616956960576,20.6741716770901,20.5667851124451,21.0002457929961,20.4706939864701,20.523781576302,8.64070517470767,8.80711596836864,1.29,0.86,1.74,1.73,0.54,1.92,12.0997782568769,11.9174234842053,11.6234228281238,11.2225881619698,9.21444592687733,8.46028839275946,78.9479
