"year","recruits","R.no.devs","logR.dev","SR.std.resid","SSB","SPR","Rs","SSB_1","MackSSB","HadSSB_GOM","HadSSB_GB","MackSSB_1","HadSSB_GOM_1","HadSSB_GB_1","ChlA","PPD","Jelly.Abun","Krill.Abun","Sm.cal.abun","Sm.cal.abun_1","Lg.cal.abun","Lg.cal.abun_1","Cfin.C5","cfinC5_1","HW","NAOIndex","HW_1","NAOIndex_1","HW_2","NAOIndex_2","HW_3","NAOIndex_3","BT","OISST","BT_1","OISST_1","BT_2","OISST_2","BT_3","OISST_3","GSI","WSW","CP"
1982,1921318,3010080,-0.4489552,-0.5392502,67830.45,0.2729209,3.1647932633689,81123.56,305313,13570.09,49494.23337,300168,13985.23,61529.0566,NA,NA,14.9760434750777,15.272128266126,20.0224814287564,20.4283285953407,20.6204494965022,20.0724913353116,9.85519056632233,7.74033853268084,16.2581592354086,-0.21,NA,0.28,NA,-0.37,NA,-1.44,8.32549835435918,10.8590987801745,7.93757269825613,NA,8.03733733951527,NA,8.08099597855223,NA,-0.494856573023563,37.6094,-0.732433948874967
1983,1359330,3001299,-0.7920529,-0.9513524,70108.2,0.2929284,2.99773600111222,67830.45,360459,10303.71,38671.64217,305313,13570.09,49494.23337,NA,NA,13.8461550819364,15.1948409830288,20.2062302298303,20.0224814287564,19.8064824119818,20.6204494965022,9.06594880550848,9.85519056632233,119.680657391283,1.26,16.2581592354086,-0.21,NA,0.28,NA,-0.37,8.86218229611894,11.4083020528385,8.32549835435918,10.8590987801745,7.93757269825613,NA,8.03733733951527,NA,-0.290645341630642,60.4479,0.0940897983680359
1984,4504452,3003036,0.4054424,0.486986,69304.87,0.2730506,4.16278175707572,70108.2,393831,6933.708,26965.4103,360459,10303.71,38671.64217,NA,NA,13.9341103849317,15.6423518748756,19.9121917888982,20.2062302298303,19.5116468310632,19.8064824119818,8.7573044548839,9.06594880550848,43.4184731794201,0.39,119.680657391283,1.26,16.2581592354086,-0.21,NA,0.28,8.41391371032201,11.230767256108,8.86218229611894,11.4083020528385,8.32549835435918,10.8590987801745,7.93757269825613,NA,0.447445647575369,64.2917,-1.3402023964213
1985,3675050,3002436,0.2021429,0.2427984,94363.56,0.259725,3.97080683909954,69304.87,583088,5068.892,20027.62987,393831,6933.708,26965.4103,NA,NA,14.3116003192741,16.2374045035198,19.722125841441,19.9121917888982,19.7652001497588,19.5116468310632,9.12894075387035,8.7573044548839,46.6627147414365,-0.82,43.4184731794201,0.39,119.680657391283,1.26,16.2581592354086,-0.21,9.31206648687638,11.1820279619582,8.41391371032201,11.230767256108,8.86218229611894,11.4083020528385,8.32549835435918,10.8590987801745,0.675206926210973,87.6007,0.433856526842271
1986,3223908,3016398,0.06653083,0.07991167,110767.4,0.2340829,3.53119458556063,94363.56,525549,2849.824,20991.5584,583088,5068.892,20027.62987,NA,NA,15.0224543100412,15.7243720765024,19.5691812391855,19.722125841441,20.3510537421898,19.7652001497588,9.07408735804465,9.12894075387035,17.2516226925428,-0.03,46.6627147414365,-0.82,43.4184731794201,0.39,119.680657391283,1.26,9.54745783045727,10.9604088123229,9.31206648687638,11.1820279619582,8.41391371032201,11.230767256108,8.86218229611894,11.4083020528385,0.202894300496553,87.7778,1.38651165269784
1987,4289285,3022155,0.35015,0.420573,149292.5,0.2177183,3.65644282417082,110767.4,411664,1481.804,20803.86337,525549,2849.824,20991.5584,NA,NA,15.154502593378,16.4928382151839,20.3318986378515,19.5691812391855,21.5483731893991,20.3510537421898,9.28244211477303,9.07408735804465,NA,-0.68,17.2516226925428,-0.03,46.6627147414365,-0.82,43.4184731794201,0.39,8.66443629623165,10.3789825444406,9.54745783045727,10.9604088123229,9.31206648687638,11.1820279619582,8.41391371032201,11.230767256108,-0.670503603893026,52.4531,-0.639225918246289
1988,6276145,3030740,0.7279491,0.874356,148077.1,0.209222,3.73860374861783,149292.5,338213,1068.864,19728.6925,411664,1481.804,20803.86337,NA,NA,14.2842050951652,15.6310420549671,20.3909758100198,20.3318986378515,19.9328457309926,21.5483731893991,8.2890490004693,9.28244211477303,12.3242,-0.18,NA,-0.68,17.2516226925428,-0.03,46.6627147414365,-0.82,8.62498157456277,10.4808033806759,8.66443629623165,10.3789825444406,9.54745783045727,10.9604088123229,9.31206648687638,11.1820279619582,-0.625483129119118,NA,-0.684770652395597
1989,7311144,3030537,0.88066,1.05778,166476.2,0.2227996,3.89942195438249,148077.1,326577,777.7339,20469.84908,338213,1068.864,19728.6925,NA,NA,16.6217956139013,15.8045047869605,21.1518478672136,20.3909758100198,19.5740750418443,19.9328457309926,7.09764619061462,8.2890490004693,9.34384598762096,2.44,12.3242,-0.18,NA,-0.68,17.2516226925428,-0.03,8.6750364890005,10.8629091067078,8.62498157456277,10.4808033806759,8.66443629623165,10.3789825444406,9.54745783045727,10.9604088123229,-0.850073365442742,NA,-0.226831460785974
1990,7794697,3033298,0.9437933,1.133611,165999.1,0.1998174,3.84634655340494,166476.2,258213,802.6103,24275.47025,326577,777.7339,20469.84908,NA,NA,16.4005714742451,16.0514842112158,21.2838858370107,21.1518478672136,19.3570274860795,19.5740750418443,6.12218235852859,7.09764619061462,66.3835361818441,1.92,9.34384598762096,2.44,12.3242,-0.18,NA,-0.68,9.15626532132134,11.1653760335927,8.6750364890005,10.8629091067078,8.62498157456277,10.4808033806759,8.66443629623165,10.3789825444406,0.101839421488378,NA,0.841894831786327
1991,6605043,3033234,0.7782042,0.9347185,210822.4,0.1885841,3.68360636049967,165999.1,245469,690.3803,21910.96211,258213,802.6103,24275.47025,NA,NA,17.2470749379842,15.2739891131009,20.9703202713379,21.2838858370107,19.5663169147753,19.3570274860795,7.86847042768456,6.12218235852859,41.531423487539,0.54,66.3835361818441,1.92,9.34384598762096,2.44,12.3242,-0.18,9.49727662590288,11.1609607430991,9.15626532132134,11.1653760335927,8.6750364890005,10.8629091067078,8.62498157456277,10.4808033806759,0.859442628140859,76.5208,0.476630794648189
